Salitang-ugat,Pangnagdaan,Pangkasalukuyan,Panghinaharap,Pawatas,Katatapos
sundan,sinundan  ,sinusundan  ,susundan ,sundan , 
sundin,sinunod ,sinusunod ,susundin ,sundin , 
sundo,sumundo ,sumusundo ,susundo ,sumundo ,kasusundo 
sunduin,sinundo  ,sinusundo  ,susunduin ,sunduin , 
sunod,sumunod ,sumusunod  ,susunod ,sumunod ,kasusunod 
suot,nagsuot ,nagsusuot ,magsusuot ,magsuot ,kasusuot 
suway,sumuway ,sumusuway ,susuway ,sumuway ,kasusuway 
tago,nagtago  ,nagtatago  ,magtatago ,magtago ,katatago 
tahi,tumahi ,tumatahi ,tatahi ,tumahi ,katatahi 
tahimik,tumahimik ,tumatahimik ,tatahimik ,tumahimik ,katatahimik 
takbo,tumakbo  ,tumatakbo  ,tatakbo ,tumakbo ,katatakbo 
talon,tumalon  ,tumatalon  ,tatalon ,tumalon ,katatalon 
taluhin,tinalo ,tinatalo ,tataluhin ,taluhin , 
tamnan,tinamnan ,tinatamnan ,tatamnan ,tamnan , 
tanggal,tumanggal ,tumatanggal ,tatanggal ,tumanggal ,katatanggal 
tanggalin,tinanggal  ,tinatanggal  ,tatanggalin ,tanggalin , 
tanggap,tumanggap  ,tumatanggap  ,tatanggap ,tumanggap ,katatanggap 
tanggapin,tinanggap  ,tinatanggap  ,tatanggapin ,tanggapin , 
tanim,nagtanim  ,nagtatanim  ,magtatanim ,magtanim ,katatanim 
tanong,nagtanong  ,nagtatanong  ,magtatanong ,magtanong ,katatanong 
tanungin,tinanong ,tinatanong ,tatanungin ,tanungin , 
tapon,nagtapon  ,nagtatapon  ,magtatapon ,magtapon ,katatapon 
tapos,nagtapos ,nagtatapos ,magtatapos ,magtapos ,katatapos 
tapusin,tinapos  ,tinatapos  ,tatapusin ,tapusin , 
tawa,tumawa  ,tumatawa  ,tatawa ,tumawa ,katatawa 
tawag,tumawag  ,tumatawag  ,tatawag ,tumawag ,katatawag 
tawagan,tinawagan ,tinatawagan ,tatawagan ,tawagan , 
tawagin,tinawag  ,tinatawag  ,tatawagin ,tawagin , 
tawid,tumawid  ,tumatawid  ,tatawid ,tumawid ,katatawid 
tibok,tumibok ,tumitibok ,titibok ,tumibok ,katitibok 
tiis,nagtiis ,nagtitiis ,magtitiis ,magtiis ,katitiis 
tiisin,tiniis ,tinitiis ,titiisin ,tiisin , 
timpla,nagtimpla ,nagtitimpla ,magtitimpla ,magtimpla ,katitimpla 
timplahin,tinimpla ,tinitimpla ,titimplahin ,timplahin , 
tindig,tumindig ,tumitindig ,titindig ,tumindig ,katitindig 
tingin,tumingin  ,tumitingin  ,titingin ,tumingin ,katitingin 
tingnan,tiningnan  ,tinitingnan  ,titingnan ,tingnan , 
tipid,nagtipid ,nagtitipid ,magtitipid ,magtipid ,katitipid 
tipirin,tinipid ,tinitipid ,titipirin ,tipirin , 
trabaho,nagtrabaho  ,nagtatrabaho  ,magtatrabaho ,magtrabaho ,katatrabaho 
tubo,tumubo ,tumutubo ,tutubo ,tumubo ,katutubo 
