Salitang-ugat,Pangnagdaan,Pangkasalukuyan,Panghinaharap,Pawatas,Katatapos
kagat,kumagat  ,kumakagat  ,kakagat ,kumagat ,kakakagat 
kagatin,kinagat  ,kinakagat  ,kakagatin ,kagatin , 
kain,kumain  ,kumakain  ,kakain ,kumain ,kakakain 
kainin,kinain  ,kinakain  ,kakainin ,kainin , 
kalimutan,kinalimutan ,kinakalimutan ,kakalimutan ,kalimutan , 
kamit,nagkamit ,nagkakamit ,magkakamit ,magkamit ,kakakamit 
kamtan,nakamtan ,nakakamtan ,makakamtan ,makamtan , 
karga,nagkarga ,nagkakarga ,magkakarga ,magkarga ,kakakarga 
katok,kumatok  ,kumakatok  ,kakatok ,kumatok ,kakakatok 
kausapin,kinausap  ,kinakausap  ,kakausapin ,kausapin , 
kilos,kumilos ,kumikilos ,kikilos ,kumilos ,kakikilos 
kinig,nakinig  ,nakikinig  ,makikinig ,makinig ,kakikinig 
kita,nakita  ,nakikita  ,makikita ,makita , 
kuha,kumuha  ,kumukuha  ,kukuha ,kumuha ,kakukuha 
kulong,nagkulong ,nagkukulong ,magkukulong ,magkulong ,kakukulong 
kulungin,kinulong ,kinukulong ,kukulungin ,kulungin , 
kumpuni,nagkumpuni ,nagkukumpuni ,magkukumpuni ,magkumpuni ,kakukumpuni 
kumpunihin,kinumpuni ,kinukumpuni ,kukumpunihin ,kumpunihin , 
kunin,kinuha  ,kinukuha  ,kukunin ,kunin , 
laba,naglaba  ,naglalaba  ,maglalaba ,maglaba ,kalalaba 
laban,lumaban  ,lumalaban  ,lalaban ,lumaban ,kalalaban 
labanan,nilabanan ,nilalabanan ,lalabanan ,labanan , 
labas,lumabas  ,lumalabas  ,lalabas ,lumabas ,kalalabas 
labhan,nilabhan ,nilalabhan ,lalabhan ,labhan , 
lagay,naglagay ,naglalagay ,maglalagay ,maglagay ,kalalagay 
lagyan,nilagyan ,nilalagyan ,lalagyan ,lagyan , 
lakad,naglakad  ,naglalakad  ,maglalakad ,maglakad ,kalalakad 
lakarin,nilakad ,nilalakad ,lalakarin ,lakarin , 
langoy,lumangoy  ,lumalangoy  ,lalangoy ,lumangoy ,kalalangoy 
languyin,nilangoy ,nilalangoy ,lalanguyin ,languyin , 
lapit,lumapit  ,lumalapit  ,lalapit ,lumapit ,kalalapit 
lapitan,nilapitan ,nilalapitan ,lalapitan ,lapitan , 
laro,naglaro  ,naglalaro  ,maglalaro ,maglaro ,kalalaro 
ligo,naligo  ,naliligo  ,maliligo ,maligo ,kaliligo 
linang,naglinang ,naglilinang ,maglilinang ,maglinang ,kalilinang 
linangin,nilinang ,nililinang ,lilinangin ,linangin , 
lingkod,naglingkod ,naglilingkod ,maglilingkod ,maglingkod ,kalilingkod 
linis,naglinis  ,naglilinis  ,maglilinis ,maglinis ,kalilinis 
linisin,nilinis ,nililinis ,lilinisin ,linisin , 
lipad,lumipad  ,lumilipad  ,lilipad ,lumipad ,kalilipad 
liparin,nilipad ,nililipad ,liliparin ,liparin , 
liwanagin,niliwanag ,nililiwanag ,liliwanagin ,liwanagin , 
lumutang,lumutang ,lumulutang ,lulutang ,lumutang ,kalulutang 
lumutas,lumutas ,lumulutas ,lulutas ,lulutas ,kalulutas 
lutasin,nilutas ,nilulutas ,lulutasin ,lutasin , 
luto,nagluto  ,nagluluto  ,magluluto ,magluto ,kaluluto 
