"abala (busy, occupied)"
abot (within reach)
abot-dinig (within hearing distance)
abot-sigaw (within shouting distance)
abot-tanaw (within seeing distance)
aburido (very much worried)
abusado (abusive)
agawan (in rivalry with each other)
agaw-buhay (dying)
agrabyado (aggrieved; at a disadvantage)
agresibo (aggressive)
"akma (appropriate, suited)"
aksaya (wasteful)
aktibo (active)
aktuwal (actual)
alam (known; aware)
alangan (unfit)
alanganin (insufficient)
alerto (alert)
"alinlangan (uncertain, doubtful)"
alinsabay (concurrent)
"alisto (alert, active)"
aliwalas (spacious; serene)
"alpas (unconfined, free)"
anak-dalita (born poor)
"angkop (suitable, fitting, apt)"
antigo (antique)
antukin (prone to sleepiness)
anuwal (annual)
apaw (overflowing; flooded)
aprobado (approved)
araw-araw (daily)
areglado (well-arranged)
arestado (arrested)
armado (armed)
arogante (arrogant)
artipisyal (artificial)
asiwa (lacking in grace and skill)
aspaltado (asphalted)
"atrasado (late, overdue)"
"bagay (appropriate, suitable)"
bago (new)
bagong-ani (newly harvested)
bagong-kasal (newly married)
bagong-dating (newly arrived)
bagong-gising (just awaken)
"bagong-huli (newly caught, referring to fish)"
bagong-luto (newly cooked)
"baguhan (inexperienced, amateurish)"
"bahagya (slight, scant, little)"
bahala (accountable)
bakante (vacant)
"baku-bako (rough, uneven, said of roads)"
balat-sibuyas (thin-skinned)
balbasin (with a long beard)
baldado (crippled)
bale-wala (of no value or worth)
"bali (broken, fractured)"
baligtaran (reversible)
baliktad/baligtad (turned upside down)
"balisa (anxious, worried, restless)"
balitang-balita (widely known)
"baliw (crazy, deranged)"
baluktot (bent or twisted)
"banal (holy, godly)"
"banayad (gentle, moderately slow)"
bansot (stunted in growth)
"bantog (famous, well-known)"
barado (clogged)
basa (wet)
basag (cracked)
"basal (chaste, virgin; not concrete)"
"bastos (vulgar, indecent)"
batay (based or taken from)
"batid (known, aware of)"
"batikan (mottled, speckled)"
batugan (lazy)
bawal (prohibited)
"bibo (alert, active)"
bigay-todo (with all of one’s efforts)
"bigla (sudden, abrupt)"
"bigo (disappointed, unsuccessful)"
bihasa (accustomed; well-trained)
"bihira (rare, uncommon)"
bilad (exposed under the sun)
bilang (counted)
"bilasa (putrid, spoiled, said of fish)"
bilog (round)
bingi (deaf)
bitin (awkwardly low)
biyak (split or cut in halves)
"buhay (alive, living)"
"bukas (open, not closed)"
"bukod (apart, aside)"
bukod-tangi (exceptional)
"bulagaw (grey-eyed, blue-eyed)"
"bulagsak (lavish, extravagant; wasteful)"
"bulok (rotten, decayed)"
"bundat (full from eating too much, satiated)"
bungi (with or having a missing tooth or teeth)
buntis (pregnant)
buo (whole)
busog (full; satisfied with food)
butas (with or having a hole)
"daig (surpassed, excelled)"
"dakila (great, distinguished)"
"dala (brought, delivered)"
dalisay (pure)
"dalita (poor, destitute)"
dalubhasa (well-trained)
dalus-dalos (in a hurry)
damak (open-handed)
"dapat (proper, right)"
"darating (coming, forthcoming)"
"dati (former, previous)"
dayupay (emaciated)
delikado (risky)
delingkuwente (delinquent)
"deretso (direct, straight)"
"desidido (decided, determined)"
desperado (desperate)
desente (decent)
detalyado (detailed)
"determinado (determined, resolved)"
"dilat (with eyes open, awake; educated)"
dilaw (with or having yellow color)
"dinaglat (abbreviated, shortened)"
dinig (audible)
direkta (direct)
"doble-kara (double-faced, deceitful)"
dominante (dominant; domineering)
drastiko (drastic)
duguan/dugu-duguan (bloody)
duguin (prone to bleeding)
"dukha (poor, needy)"
duling (cross-eyed)
durog (crushed into pieces)
"durug-durog (crushed, pulverized)"
duwag (coward)
ebangheliko (evangelical)
ebaporada (evaporated)
edukado/edukada (educated; well-bred)
edukasyonal (educational)
egalitaryo (egalitarian)
ehekutibo (executive)
ekidistante (equidistant)
ekilatero (equilateral)
eklektiko (eclectic)
eklesyastiko (ecclesiastic)
ekonomiko (economic)
eksagonal (hexagonal)
eksaherado (exaggerated)
eksakto (exact)
eksaminado (examined)
ekslamatoryo (exclamatory)
eksklusibo (exclusive)
"eksperto (with or having great skill, expert)"
eksplosibo (explosive)
